id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
106,Satta Massagana,The Abyssinians,reggae,relaxed,0.44,80,0.72,0.74,0.48
107,You Can Get It If You Really Want,Jimmy Cliff,reggae,hopeful,0.55,90,0.80,0.77,0.41
108,Concrete Jungle,Bob Marley & The Wailers,reggae,moody,0.50,86,0.45,0.72,0.39
109,Monkey Man,Toots and the Maytals,reggae,energetic,0.69,98,0.83,0.85,0.28
110,Sitting and Watching,Dennis Brown,reggae,nostalgic,0.46,82,0.58,0.70,0.52
111,Equal Rights,Peter Tosh,reggae,intense,0.66,96,0.52,0.75,0.33
112,Still D.R.E.,"Dr. Dre, Snoop Dogg",hip hop,confident,0.76,94,0.63,0.86,0.10
113,N.Y. State of Mind,Nas,hip hop,moody,0.58,88,0.34,0.78,0.16
114,Mama Said Knock You Out,LL Cool J,hip hop,intense,0.84,102,0.47,0.82,0.08
115,California Love,2Pac,hip hop,happy,0.72,98,0.79,0.88,0.12
116,It Was a Good Day,Ice Cube,hip hop,nostalgic,0.61,90,0.52,0.76,0.19
117,Stan,Eminem,hip hop,melancholy,0.55,86,0.28,0.74,0.21
118,Jump Around,House of Pain,hip hop,energetic,0.81,100,0.71,0.89,0.07
119,"Nocturne No. 20 in C-sharp Minor, Op. posth.",Frédéric Chopin,classical,melancholy,0.24,58,0.22,0.18,0.96
120,"Prelude in C Major, BWV 846",Johann Sebastian Bach,classical,hopeful,0.34,72,0.61,0.21,0.95
121,"Adagio for Strings, Op. 11",Samuel Barber,classical,relaxed,0.28,64,0.44,0.16,0.97
122,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,classical,intense,0.55,120,0.31,0.24,0.9
123,"The Blue Danube, Op. 314",Johann Strauss II,classical,romantic,0.38,96,0.58,0.3,0.94
124,"Étude in E Major, Op. 10 No. 3",Frédéric Chopin,classical,focused,0.3,80,0.4,0.19,0.96
125,Fanfare for the Common Man,Aaron Copland,classical,happy,0.48,104,0.72,0.27,0.92
126,"Nimrod from Enigma Variations, Op. 36",Edward Elgar,classical,nostalgic,0.26,62,0.33,0.15,0.97
127,"Allegro from Symphony No. 7 in A Major, Op. 92",Ludwig van Beethoven,classical,energetic,0.58,132,0.55,0.28,0.89
128,Levels,Avicii,edm,energetic,0.94,128,0.74,0.92,0.02
129,Don't You Worry Child,Swedish House Mafia,edm,happy,0.90,126,0.82,0.90,0.04
130,Scary Monsters and Nice Sprites,Skrillex,edm,intense,0.96,140,0.42,0.86,0.03
131,Wake Me Up,Avicii,edm,hopeful,0.86,124,0.70,0.88,0.06
132,Strobe,deadmau5,edm,nostalgic,0.82,122,0.56,0.84,0.08
133,Opus,Eric Prydz,edm,moody,0.84,130,0.35,0.83,0.05
134,Satisfaction,Benny Benassi,edm,confident,0.92,132,0.66,0.91,0.03
135,Latch,"Disclosure, Sam Smith",edm,chill,0.78,118,0.60,0.80,0.11
136,Clarity,"Zedd, Foxes",edm,romantic,0.80,120,0.64,0.82,0.09
137,Pancho and Lefty,"Willie Nelson, Merle Haggard",country,nostalgic,0.52,102,0.58,0.62,0.66
138,Chicken Fried,Zac Brown Band,country,happy,0.74,124,0.82,0.70,0.42
139,Whiskey Lullaby,"Brad Paisley, Alison Krauss",country,melancholy,0.38,88,0.26,0.50,0.78
140,Bless the Broken Road,Rascal Flatts,country,romantic,0.45,96,0.64,0.55,0.72
141,Dirt on My Boots,Jon Pardi,country,confident,0.68,118,0.60,0.66,0.48
142,Amarillo by Morning,George Strait,country,hopeful,0.56,108,0.70,0.58,0.61
143,Folsom Prison Blues,Johnny Cash,country,intense,0.72,126,0.44,0.63,0.44
144,Take It Easy,Eagles,country,relaxed,0.40,92,0.62,0.52,0.75
145,Ghost in This House,Alison Krauss,country,moody,0.47,100,0.33,0.54,0.69
146,Untitled (How Does It Feel),D'Angelo,r&b,romantic,0.48,88,0.70,0.75,0.38
147,No Scrubs,TLC,r&b,confident,0.66,96,0.68,0.82,0.26
148,Golden,Jill Scott,r&b,hopeful,0.52,92,0.66,0.72,0.44
149,Cranes in the Sky,Solange,r&b,moody,0.42,80,0.34,0.68,0.50
150,Smooth Operator,Sade,r&b,chill,0.44,84,0.60,0.70,0.47
151,Doo Wop (That Thing),Lauryn Hill,r&b,intense,0.68,98,0.45,0.79,0.22
152,On & On,Erykah Badu,r&b,nostalgic,0.50,86,0.56,0.73,0.41
153,Yeah!,Usher,r&b,energetic,0.70,100,0.74,0.85,0.20
154,Angel of Death,Slayer,metal,angry,0.96,172,0.20,0.52,0.03
155,Blood and Thunder,Mastodon,metal,intense,0.94,160,0.28,0.55,0.05
156,Hallowed Be Thy Name,Iron Maiden,metal,moody,0.88,148,0.22,0.48,0.07
157,Painkiller,Judas Priest,metal,energetic,0.97,178,0.40,0.58,0.02
158,Fade to Black,Metallica,metal,melancholy,0.86,140,0.18,0.44,0.09
159,The Trooper,Iron Maiden,metal,confident,0.93,164,0.38,0.56,0.04
160,Holy Diver,Dio,metal,nostalgic,0.84,144,0.24,0.46,0.08
161,Raining Blood,Slayer,metal,angry,0.98,186,0.16,0.50,0.02
162,Rise Today,Alter Bridge,metal,hopeful,0.90,152,0.46,0.54,0.06
163,Home,Edward Sharpe & The Magnetic Zeros,folk,happy,0.46,112,0.76,0.54,0.84
164,Pink Moon,Nick Drake,folk,melancholy,0.30,86,0.28,0.40,0.93
165,White Winter Hymnal,Fleet Foxes,folk,hopeful,0.44,104,0.68,0.50,0.88
166,The Circle Game,Joni Mitchell,folk,nostalgic,0.34,92,0.52,0.44,0.91
167,Heartbeats,José González,folk,relaxed,0.32,88,0.60,0.42,0.94
168,Such Great Heights,Iron & Wine,folk,romantic,0.38,96,0.66,0.48,0.87
169,Skinny Love,Bon Iver,folk,intense,0.58,120,0.38,0.52,0.79
170,Wagon Wheel,Old Crow Medicine Show,folk,energetic,0.62,128,0.74,0.60,0.82
171,Fly-Day Chinatown,Nanako Sato,city pop,nostalgic,0.72,106,0.78,0.79,0.24
172,Remember Summer Days,Anri,city pop,happy,0.76,112,0.84,0.82,0.19
173,September,Mariya Takeuchi,city pop,romantic,0.66,100,0.7,0.76,0.31
174,Last Summer Whisper,Anri,city pop,melancholy,0.62,98,0.44,0.72,0.35
175,4:00 A.M.,Taeko Onuki,city pop,chill,0.64,102,0.72,0.75,0.29
176,Sea Line,Toshiki Kadomatsu,city pop,energetic,0.8,116,0.81,0.85,0.16
177,Midnight Pretenders,Tomoko Aran,city pop,moody,0.6,96,0.48,0.71,0.33
178,I Can't Stop The Loneliness,Anri,city pop,confident,0.74,110,0.76,0.8,0.22
179,Swagism,Ghost-Note,funk,happy,0.74,104,0.82,0.86,0.06
180,What Is Hip?,Tower of Power,funk,energetic,0.82,112,0.79,0.89,0.04
181,Cissy Strut,The Meters,funk,chill,0.62,96,0.68,0.80,0.10
182,Barbara,The Fearless Flyers,funk,romantic,0.58,92,0.65,0.78,0.12
183,Give Up the Funk (Tear the Roof off the Sucker),Parliament,funk,intense,0.84,118,0.60,0.83,0.05
184,Superstition,Stevie Wonder,funk,confident,0.76,108,0.74,0.87,0.07
185,Wait for the Moment,Vulfpeck,funk,nostalgic,0.60,100,0.58,0.76,0.14
186,One Step Beyond,Madness,ska,happy,0.84,158,0.88,0.80,0.06
187,Sell Out,Reel Big Fish,ska,energetic,0.88,168,0.85,0.82,0.05
188,Gangsters,The Specials,ska,confident,0.80,150,0.76,0.78,0.08
189,Everything Went Numb,Streetlight Manifesto,ska,intense,0.86,172,0.66,0.76,0.07
190,Guns of Navarone,The Skatalites,ska,chill,0.72,142,0.78,0.74,0.12
191,Ghost Town,The Specials,ska,melancholy,0.70,140,0.42,0.70,0.14
192,Israelites,Desmond Dekker,ska,moody,0.74,146,0.50,0.72,0.10
193,The Impression That I Get,The Mighty Mighty Bosstones,ska,hopeful,0.78,154,0.72,0.75,0.09
194,Our House,Madness,ska,nostalgic,0.76,148,0.68,0.73,0.11
195,Alchemist,Good Kid,indie rock,energetic,0.78,142,0.66,0.62,0.12
196,Someday,The Strokes,indie rock,nostalgic,0.62,118,0.52,0.55,0.24
197,Do I Wanna Know?,Arctic Monkeys,indie rock,moody,0.58,110,0.38,0.50,0.28
198,Float On,Modest Mouse,indie rock,happy,0.72,128,0.74,0.60,0.20
199,The Night We Met,Lord Huron,indie rock,melancholy,0.54,104,0.30,0.47,0.31
200,Mimi's Delivery Service,Good Kid,indie rock,hopeful,0.70,124,0.68,0.58,0.18
201,Brianstorm,Arctic Monkeys,indie rock,intense,0.84,152,0.44,0.56,0.10
202,Take Me Out,Franz Ferdinand,indie rock,confident,0.76,134,0.62,0.61,0.15
203,Cigarette Daydreams,Cage the Elephant,indie rock,romantic,0.60,112,0.64,0.53,0.26
